Total $\rho$,Scenario,Regret
0,Optimal Sample,60.27500440657133
0,Uniform Sample,174.60909727832797
0,Optimal Sample,87.56933945621167
0,Uniform Sample,58.35969490588284
0,Optimal Sample,32.861465653772676
0,Uniform Sample,121.62853059100902
0,Optimal Sample,65.11963724164767
0,Uniform Sample,41.96496348858741
0,Optimal Sample,44.83531429840893
0,Uniform Sample,227.11358494039683
0,Optimal Sample,31.067151787593275
0,Uniform Sample,488.12034049782955
0,Optimal Sample,96.40065657667249
0,Uniform Sample,351.50671052603207
0,Optimal Sample,200.41138147370836
0,Uniform Sample,157.22008530648935
0,Optimal Sample,51.87507318059113
0,Uniform Sample,107.71222825585807
0,Optimal Sample,117.12867662549806
0,Uniform Sample,152.1257682130774
0,Optimal Sample,127.1935582510821
0,Uniform Sample,101.18128369020516
0,Optimal Sample,151.13282627639867
0,Uniform Sample,39.8083547460243
0,Optimal Sample,215.12502305275652
0,Uniform Sample,209.58013613302347
0,Optimal Sample,32.54866022825841
0,Uniform Sample,84.5752284891388
0,Optimal Sample,44.84845848524142
0,Uniform Sample,194.5409225903251
0,Optimal Sample,111.97450673301591
0,Uniform Sample,161.12060294658616
0,Optimal Sample,69.36468519472005
0,Uniform Sample,281.22707293012786
0,Optimal Sample,82.60827999055711
0,Uniform Sample,127.08390644932145
0,Optimal Sample,81.48065156164888
0,Uniform Sample,171.36757663711586
0,Optimal Sample,33.70361310695253
0,Uniform Sample,195.76905342124388
0,Optimal Sample,65.71131220814324
0,Uniform Sample,300.99628434471134
0,Optimal Sample,45.24124357891106
0,Uniform Sample,381.5105584107042
0,Optimal Sample,111.74812014938179
0,Uniform Sample,136.88757357797402
0,Optimal Sample,183.22135999532193
0,Uniform Sample,167.42015856364267
0,Optimal Sample,70.27561592771796
0,Uniform Sample,249.72440992867863
0,Optimal Sample,213.307152093683
0,Uniform Sample,129.82236250835678
0,Optimal Sample,20.804068895968584
0,Uniform Sample,98.58093735494394
0,Optimal Sample,197.21280082476346
0,Uniform Sample,82.41993582242698
0,Optimal Sample,74.28533549596628
0,Uniform Sample,301.3045914053439
0,Optimal Sample,230.33159329835385
0,Uniform Sample,87.42311616653141
0,Optimal Sample,123.5848871052945
0,Uniform Sample,302.6435081513469
0,Optimal Sample,58.671515858175994
0,Uniform Sample,102.89320642653863
0,Optimal Sample,70.35138755179072
0,Uniform Sample,102.25346992306646
0,Optimal Sample,10.822830577412704
0,Uniform Sample,309.78883749880106
0,Optimal Sample,32.20371509134904
0,Uniform Sample,409.0721020181927
0,Optimal Sample,42.39238755505492
0,Uniform Sample,90.9637865970887
0,Optimal Sample,46.04362681899642
0,Uniform Sample,115.99609921746435
0,Optimal Sample,55.356581130521825
0,Uniform Sample,84.5927285410152
0,Optimal Sample,73.46649338592634
0,Uniform Sample,253.52236780343162
0,Optimal Sample,12.763040747872338
0,Uniform Sample,125.20669356206706
0,Optimal Sample,90.8051837179263
0,Uniform Sample,252.8461643517444
0,Optimal Sample,211.79080204731903
0,Uniform Sample,113.74578611851062
0,Optimal Sample,150.72841487733402
0,Uniform Sample,510.4312057482159
0,Optimal Sample,37.20890452147901
0,Uniform Sample,126.32417474961325
0,Optimal Sample,54.827003972109964
0,Uniform Sample,239.58819594877232
0,Optimal Sample,135.60496279530562
0,Uniform Sample,315.5462057258223
0,Optimal Sample,103.80796867163714
0,Uniform Sample,679.8598126837989
0,Optimal Sample,57.21812736912929
0,Uniform Sample,45.431546670455745
0,Optimal Sample,54.21005637499585
0,Uniform Sample,134.15659998020226
0,Optimal Sample,103.2411761368777
0,Uniform Sample,355.4679853481295
0,Optimal Sample,113.29898305605565
0,Uniform Sample,106.36173478659029
0,Optimal Sample,55.94875420592662
0,Uniform Sample,209.84268243391782
0,Optimal Sample,42.56228486484456
0,Uniform Sample,273.78357300318055
0,Optimal Sample,231.5262318729357
0,Uniform Sample,92.78653760503911
0,Optimal Sample,158.49604417981146
0,Uniform Sample,387.90339934870246
0,Optimal Sample,21.818277955911356
0,Uniform Sample,279.6451576633518
0,Optimal Sample,13.279153074552893
0,Uniform Sample,252.37836171778383
0,Optimal Sample,69.72719401847266
0,Uniform Sample,502.7373913702145
0,Optimal Sample,74.96105537874409
0,Uniform Sample,110.63399597978766
0,Optimal Sample,148.45154579468957
0,Uniform Sample,229.40989690089674
0,Optimal Sample,90.0455931481742
0,Uniform Sample,102.72555363503128
0,Optimal Sample,75.2936429296194
0,Uniform Sample,140.5674814840634
0,Optimal Sample,28.25736239878563
0,Uniform Sample,170.85061928727634
0,Optimal Sample,39.94827763954853
0,Uniform Sample,58.82144668063719
0,Optimal Sample,55.1372435454853
0,Uniform Sample,164.1666696068921
0,Optimal Sample,217.34824261982934
0,Uniform Sample,18.305775766154824
0,Optimal Sample,84.22430490410224
0,Uniform Sample,53.933622065788214
0,Optimal Sample,74.6924475461419
0,Uniform Sample,99.71475203289357
0,Optimal Sample,294.36761660413174
0,Uniform Sample,118.47110468470093
0,Optimal Sample,182.71840617307058
0,Uniform Sample,197.8420008538192
0,Optimal Sample,138.43881637973934
0,Uniform Sample,46.52505311661961
0,Optimal Sample,160.7860850229294
0,Uniform Sample,150.04769674563897
0,Optimal Sample,26.52823760588284
0,Uniform Sample,223.96697873416687
0,Optimal Sample,20.319831533595977
0,Uniform Sample,504.45071417250114
0,Optimal Sample,263.15651041085476
0,Uniform Sample,191.5641778859638
0,Optimal Sample,73.06605855025042
0,Uniform Sample,74.61106225510467
0,Optimal Sample,44.10123371479632
0,Uniform Sample,318.8680719911968
0,Optimal Sample,134.93981672933975
0,Uniform Sample,238.60105193469087
0,Optimal Sample,22.465090008475176
0,Uniform Sample,37.80959833256868
0,Optimal Sample,153.56379153571473
0,Uniform Sample,104.15648477393519
0,Optimal Sample,137.06017639803989
0,Uniform Sample,154.28938691939018
0,Optimal Sample,45.01272873572919
0,Uniform Sample,500.7213277552484
0,Optimal Sample,66.17189489654703
0,Uniform Sample,111.85629321369206
0,Optimal Sample,140.23993166387416
0,Uniform Sample,163.52840228405572
0,Optimal Sample,165.346412031512
0,Uniform Sample,445.792783660317
0,Optimal Sample,56.16163160989003
0,Uniform Sample,146.28210288860475
0,Optimal Sample,120.31876672107163
0,Uniform Sample,66.4138702059025
0,Optimal Sample,174.7186305332703
0,Uniform Sample,256.54415606263774
0,Optimal Sample,46.63695349103272
0,Uniform Sample,111.68252467791893
0,Optimal Sample,64.60516601517152
0,Uniform Sample,210.94653207895976
0,Optimal Sample,75.87676276105194
0,Uniform Sample,25.07522697934194
0,Optimal Sample,7.247484678541259
0,Uniform Sample,89.11316042575191
0,Optimal Sample,65.47655768023685
0,Uniform Sample,71.5529912362415
0,Optimal Sample,285.89067212924715
0,Uniform Sample,209.23130494409492
0,Optimal Sample,37.317297937295464
0,Uniform Sample,132.22435645109633
0,Optimal Sample,138.66569168588933
0,Uniform Sample,306.3173277266269
0,Optimal Sample,85.13258794911329
0,Uniform Sample,230.14903852907233
0,Optimal Sample,31.616355553867148
0,Uniform Sample,24.18582299802596
0,Optimal Sample,186.26953902039435
0,Uniform Sample,38.88722699459635
0,Optimal Sample,151.7617284233516
0,Uniform Sample,50.48899761801708
0,Optimal Sample,45.70866888578995
0,Uniform Sample,67.93974025200923
0,Optimal Sample,24.279875255977597
0,Uniform Sample,106.71818296164957
0,Optimal Sample,92.03807892907042
0,Uniform Sample,79.5602012624286
0,Optimal Sample,46.51157816056678
0,Uniform Sample,60.9010677579742
0,Optimal Sample,25.02731789554453
0,Uniform Sample,256.8418076758308
0,Optimal Sample,21.346916468150575
0,Uniform Sample,149.8934252182202
0,Optimal Sample,95.72816055670214
0,Uniform Sample,149.12042157486846
0,Optimal Sample,139.26921890549227
0,Uniform Sample,528.3540909964387
0,Optimal Sample,101.0422481850433
0,Uniform Sample,117.340091159222
0,Optimal Sample,136.16413441132468
0,Uniform Sample,265.2850634396768
0,Optimal Sample,71.59763028369063
0,Uniform Sample,144.0127697366205
0,Optimal Sample,29.87799352113866
0,Uniform Sample,146.28938445917765
